Name	HAF1608	HELF977	IMR90	Beas-2B	Mammary_Epithelial	MCF10A	MCF7	MDA-DB-231	ZR75-1	HeLa	Hep3B	HepG2	Huh7	MIHA	Fadu	A549	H1264	H460	H520	RVH6849	HK1	NP460	LNCaP	BicR	DKO1	DKS8	DLD1	DLD2	HCT116	SW480	143B	U2OS	HEK293	A2058	A375	SH-SY5Y	LCLB	HDMYZ	C8166	Jurkat	SUP-T1	THP-1
hsa-miR-550a-2-34-3p	20.4563058	14.89784144	0	32.90628291	11.45045143	2.435362013	3.789930495	2.274252573	5.250224638	26.52174025	0	27.58527013	0	2.280736806	9.935812287	70.44836086	56.64059523	55.82359071	33.65408048	11.67552002	5.548070064	22.87364263	0	0	4.411055648	7.198389152	6.09668023	14.9797025	4.2823343	29.75561997	0	28.7484938	56.63905942	13.85433061	11.2386647	6.023580227	13.22685695	11.39376388	5.313283544	15.2017117	16.02705459	26.96639134
hsa-miR-3688-1-30-3p	0	0	0	5.367691538	1.414331684	1.043726577	1.034968393	1.364551544	1.374860533	1.864525476	1.298188205	1.869987122	3.241642698	5.473768334	8.279843572	2.440239624	2.360336255	1.701904901	3.114819352	1.245056831	2.377744313	0	1.362180804	0	1.764126391	2.094767987	2.262368183	3.15362158	1.427444767	0	0	0	3.580407392	1.240686323	0	0	1.457653624	1.330606079	1.847903725	0	3.490973434	0
hsa-miR-6817-3p	0	0	0	0	0	0	0	0	0	1.353561435	0	1.14110033	0	0	0	0	0	0	0	1.998250033	0	0	0	0	0	0	3.763076557	0	0	0	0	0	1.597972515	0	0	0	0	0	2.015051824	0	0	0
hsa-miR-6823-5p	0	0	0	0	0	0	1.151454998	0	0	0	0	0	1.080547566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.617157723	0	0	0	0	1.622060207	0	0
hsa-miR-548q	3.719328326	1.354349222	1.478532691	32.20614923	3.273596636	7.219108824	1.774904559	5.685631431	6.637066249	3.911585253	2.163647009	3.733221822	2.624186946	3.193031528	3.785071347	1.562809162	1.617016969	1.355982427	3.741261201	3.009781646	2.774035032	5.382033561	1.787862305	7.352900218	2.083205847	2.411107833	2.892155936	5.518837764	0	7.67886967	0	16.35690165	3.740250837	2.6881537	2.730890489	0	3.725114816	7.161429067	3.039310802	1.664011441	3.076501763	3.197093021
hsa-miR-6805-5p	0	0	1.971376921	0	0	0	1.766549249	5.117068288	0	1.28931593	3.461835214	1.04318297	0	3.193031528	0	0	2.147776299	0	2.386695311	0	0	0	0	0	1.025282796	1.167228313	1.306552191	1.57681079	0	0	0	2.973982117	1.834777624	7.237336883	10.39839071	0	0	0	0	9.949993059	1.151447561	0
hsa-miR-761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3616-3p	0	0	0	0	0	1.217681007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5004-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.305636133	0	0	0	0	0	0	0	0	0
